Date,Open,High,Low,Close,Adj Close,Volume
2008-09-09,167.89999389648438,171.39999389648438,164.60000610351562,169.39999389648438,165.94989013671875,5804388
2008-09-10,168.0,171.10000610351562,167.0,169.75,166.2927703857422,4674164
2008-09-11,168.89999389648438,171.0,166.0500030517578,168.6999969482422,165.26414489746094,7534391
2008-09-12,170.0,172.25,165.60000610351562,167.64999389648438,164.23553466796875,4700001
2008-09-15,161.10000610351562,166.4499969482422,149.75,156.5500030517578,153.36160278320312,4342430
2008-09-16,152.0,161.9499969482422,141.0,160.3000030517578,157.0352325439453,3423132
2008-09-17,155.0,163.0,155.0,157.14999389648438,153.9493865966797,2010583
2008-09-18,150.0,157.5,145.0,155.6999969482422,152.52891540527344,2985849
2008-09-19,165.0,165.60000610351562,159.0,164.0500030517578,160.7088623046875,2983465
2008-09-22,167.0,167.64999389648438,159.5,161.0,157.72097778320312,2057379
2008-09-23,151.0500030517578,165.35000610351562,151.0500030517578,160.0500030517578,156.7903289794922,4268464
2008-09-24,160.0,164.25,159.3000030517578,161.3000030517578,158.01486206054688,2201793
2008-09-25,161.0,165.6999969482422,160.0500030517578,164.85000610351562,161.49256896972656,3306271
2008-09-26,165.0,165.5,160.0,161.39999389648438,158.11282348632812,2312127
2008-09-29,162.5500030517578,165.0,149.5,152.6999969482422,149.5900115966797,3587031
2008-09-30,149.0,156.25,143.0,153.4499969482422,150.32473754882812,2621985
2008-10-01,151.39999389648438,156.8000030517578,151.39999389648438,154.3000030517578,151.15744018554688,1698347
2008-10-03,155.0,159.0,148.60000610351562,149.4499969482422,146.4062042236328,3128782
2008-10-06,147.5,147.5,137.89999389648438,139.35000610351562,136.5119171142578,2221773
2008-10-07,140.0,149.39999389648438,140.0,145.8000030517578,142.83055114746094,2435196
2008-10-08,142.0,142.8000030517578,131.0,137.5500030517578,134.7485809326172,2433125
2008-10-10,131.8000030517578,131.8000030517578,118.9000015258789,123.69999694824219,121.18064880371094,3307178
2008-10-13,122.0,130.4499969482422,122.0,129.25,126.61761474609375,2128225
2008-10-14,135.0,136.0,124.19999694824219,125.69999694824219,123.1399154663086,1823867
2008-10-15,123.0,126.80000305175781,119.69999694824219,121.05000305175781,118.58462524414062,2101443
2008-10-16,115.0,119.5,111.80000305175781,117.5,115.10692596435547,2025422
